,price,location,Garden,Resale,Area,Parking,Furnished
127,₹53 Lac ," Studio Apartment for Sale in Kurla East, Mumbai",no,yes,Area225,0,0
128,₹1.80 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,no,Area494,0,0
129,₹3.25 Cr ,"2 BHK Flat for Sale in Wadala West, Mumbai",yes,yes,Area850,0,0
130,₹1.15 Cr ,"1 BHK Flat for Sale in Mulund West, Mumbai",no,yes,Area457,0,1
131,₹1.22 Cr ,"2 BHK Flat for Sale in Mira Road, Mumbai",yes,no,Area713,0,1
132,₹1.70 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area450,0,1
133,₹46 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area500,1,1
134,₹1.16 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",no,yes,Area999,0,0
135,₹2.75 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area643,1,1
136,₹2.99 Cr ,"2 BHK Flat for Sale in Mahim West, Mumbai",no,yes,Area600,0,0
137,₹90 Lac ,"1 BHK Flat for Sale in Mulund East, Mumbai",no,yes,Area535,1,1
138,₹70 Lac ,"1 BHK Flat for Sale in Goregaon West, Mumbai",no,yes,Area308,1,0
139,₹3.99 Cr ,"4 BHK Flat for Sale in Andheri West, Mumbai",yes,yes,Area1625,0,1
140,₹1.40 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",no,yes,Area623,1,1
141,₹65 Lac ,3 BHK Flat for Sale in Mumbai,no,yes,Area950,0,1
142,₹9 Cr ,"4 BHK Flat for Sale in Dadar TT, Mumbai",yes,yes,Area1903,1,1
143,₹10.50 Cr ,3 BHK Flat for Sale in Mumbai,yes,yes,Area2100,0,0
144,₹47 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",no,yes,Area690,1,0
145,₹3.87 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",no,yes,Area950,1,1
146,₹1 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area575,0,0
147,₹2 Cr ,"2 BHK Flat for Sale in Brhmanwada, Mumbai",no,yes,Area425,0,1
148,₹2.35 Cr ,"3 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area950,0,0
149,₹2.75 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",no,yes,Area1250,0,0
150,₹1.25 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",no,yes,Area1000,0,0
151,₹3 Cr ,"2 BHK Flat for Sale in Grant Road East, Mumbai",yes,yes,Area860,1,1
152,₹72 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area321,0,1
153,₹5.50 Cr ,"3 BHK Flat for Sale in Vikhroli East, Mumbai",no,no,Area1110,0,1
154,₹2.10 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area650,0,1
155,₹1 Cr ,"3 BHK Flat for Sale in Mira Road, Mumbai",no,yes,Area700,0,1
156,₹1.58 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",no,no,Area555,0,0
157,₹1.72 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area490,0,0
158,₹40 Lac ,"1 BHK Flat for Sale in Ulhasnagar, Mumbai",no,yes,Area750,0,1
159,₹5.95 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",no,yes,Area1200,0,0
160,₹4.50 Cr ,"2 BHK Flat for Sale in Santacruz West, Mumbai",no,yes,Area790,0,1
161,₹46 Lac ,1 BHK Flat for Sale in Mumbai,yes,yes,Area550,0,1
162,₹3 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",no,yes,Area1100,0,1
163,₹2.25 Cr ,"2 BHK Flat for Sale in Ghatkopar, Mumbai",no,yes,Area700,0,1
164,₹5.70 Cr ,"4 BHK Flat for Sale in Ghatkopar East, Mumbai",yes,yes,Area1650,1,0
165,₹6.66 Cr ,"4 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area1356,0,0
166,₹96 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",no,yes,Area442,0,0
167,₹3.75 Cr ,"5 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area1579,0,1
168,₹35 Lac ,"1 BHK Flat for Sale in Panvel, Mumbai",no,yes,Area416,0,1
169,₹2 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area728,1,1
170,₹1 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",yes,yes,Area420,1,1
171,₹2.90 Cr ,"2 BHK Flat for Sale in Sewri, Mumbai",yes,yes,Area800,1,1
172,₹2.25 Cr ,"2 BHK Flat for Sale in Chandivali, Mumbai",yes,yes,Area671,1,1
173,₹95 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area600,1,0
174,₹4.10 Cr ,"3 BHK Flat for Sale in Ghatkopar, Mumbai",no,yes,Area1695,1,1
175,₹2 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area825,0,1
176,₹1.35 Cr ,"1 BHK Flat for Sale in Kalina, Mumbai",yes,yes,Area464,0,1
177,₹4.45 Cr ,"3 BHK Flat for Sale in Bandra West, Mumbai",no,yes,Area1070,0,1
178,₹1.60 Cr ,"1 BHK Flat for Sale in Grant Road West, Mumbai",no,yes,Area375,0,1
179,₹1.85 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area570,1,0
180,₹1.09 Cr ,"1 BHK Flat for Sale in Kandivali East, Mumbai",yes,yes,Area407,0,0
181,₹55 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",no,yes,Area647,0,0
182,₹1.05 Cr ,"1 BHK Flat for Sale in Kaju Pada Ghatkopar West, Mumbai",yes,yes,Area600,0,1
183,₹1.62 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area575,1,1
184,₹2.60 Cr ,"1 BHK Flat for Sale in Jacob Circle, Mumbai",no,yes,Area510,0,0
185,₹9.87 Cr ,"3 BHK Flat for Sale in Worli, Mumbai",yes,yes,Area2120,1,1
186,₹2.75 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",no,yes,Area682,1,0
187,₹1.30 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",no,yes,Area690,0,0
188,₹1.12 Cr ,"1 BHK Flat for Sale in Jogeshwari East, Mumbai",no,yes,Area375,0,0
189,₹66 Lac ,"1 BHK Flat for Sale in Charkop Gaon, Mumbai",no,yes,Area525,0,1
190,₹50 Lac ,"1 BHK Flat for Sale in Borivali West, Mumbai",no,yes,Area420,0,1
191,₹3.42 Cr ,"3 BHK Flat for Sale in Babrekar Nagar Kandivali West, Mumbai",no,yes,Area1049,0,0
192,₹4.20 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",yes,yes,Area1250,0,0
193,₹70 Lac ,"1 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area325,1,0
194,₹1.40 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area512,0,1
195,₹4.95 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",yes,yes,Area850,1,1
196,₹1.40 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",yes,yes,Area575,1,0
197,₹1.60 Cr ,"1 BHK Flat for Sale in Nana Chowk Area, Mumbai",no,yes,Area325,0,1
198,₹7.50 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area1250,0,0
199,₹1.05 Cr ,"2 BHK Flat for Sale in Jogeshwari East, Mumbai",no,yes,Area386,0,0
200,₹2.58 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",no,yes,Area825,0,1
201,₹85 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",no,yes,Area376,1,0
202,₹35 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",no,yes,Area330,0,0
203,₹1.50 Cr ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",no,no,Area1026,0,1
204,₹2.05 Cr ,"1 BHK Flat for Sale in Vile Parle West, Mumbai",no,yes,Area530,1,0
205,₹1.18 Cr ,"1 BHK Flat for Sale in Sion, Mumbai",yes,yes,Area437,0,1
206,₹2.58 Cr ,"2 BHK Flat for Sale in Orlem, Mumbai",no,yes,Area865,0,1
207,₹1.70 Cr ,"2 BHK Flat for Sale in Swastik Park, Mumbai",no,yes,Area700,1,1
208,₹2.25 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area900,0,0
209,₹45 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",no,yes,Area500,0,1
210,₹2.50 Cr ,"3 BHK Flat for Sale in Kurla West, Mumbai",no,yes,Area875,1,0
211,₹2.30 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",no,yes,Area731,1,0
212,₹96 Lac ,"1 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area400,0,0
213,₹3.50 Cr ,"2 BHK Flat for Sale in Kala Nagar, Mumbai",no,yes,Area635,1,1
214,₹2 Cr ,"2 BHK Flat for Sale in Dahisar West, Mumbai",no,yes,Area650,0,1
215,₹1.14 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area410,0,1
216,₹6.75 Cr ,"3 BHK Flat for Sale in Worli, Mumbai",no,yes,Area1092,1,1
217,₹79.9 Lac ,"1 BHK Flat for Sale in Powai, Mumbai",no,yes,Area405,0,1
218,₹10 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",yes,yes,Area2000,1,1
219,₹1.15 Cr ,"1 BHK Flat for Sale in Vikhroli East, Mumbai",no,yes,Area400,0,1
220,₹1.30 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",yes,no,Area515,0,1
221,₹1.35 Cr ,1 BHK Flat for Sale in Mumbai,no,yes,Area460,0,1
222,₹1.90 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",yes,yes,Area638,0,0
223,₹1.65 Cr ,3 BHK Flat for Sale in Mumbai,no,yes,Area875,0,1
224,₹2.97 Cr ,"2 BHK Flat for Sale in Borivali East, Mumbai",no,yes,Area935,0,1
225,₹66 Lac ,"2 BHK Flat for Sale in Naigaon East, Mumbai",no,yes,Area724,0,0
226,₹1.85 Cr ,"2 BHK Flat for Sale in Jogeshwari East, Mumbai",no,yes,Area600,0,1
227,₹95 Lac ,"1 BHK Flat for Sale in Malad East, Mumbai",no,no,Area400,0,1
228,₹1.70 Cr ,"2 BHK Flat for Sale in Vishwakarma Nagar, Mumbai",no,yes,Area800,1,0
229,₹1.19 Cr ,"1 BHK Flat for Sale in Chinchpokli, Mumbai",no,yes,Area350,0,1
230,₹70 Lac ," Studio Apartment for Sale in Malad East, Mumbai",yes,yes,Area329,1,1
231,₹55 Lac ,"1 BHK Flat for Sale in Mira Road East, Mumbai",no,yes,Area325,0,0
232,₹1.40 Cr ,"1 BHK Flat for Sale in Sion, Mumbai",yes,yes,Area550,1,1
233,₹11 Cr ,"2 BHK Flat for Sale in Colaba, Mumbai",yes,yes,Area2300,0,0
234,₹4.85 Cr ,"3 BHK Flat for Sale in Vile Parle East, Mumbai",no,yes,Area1011,0,1
235,₹2.20 Cr ,"1 BHK Flat for Sale in Vikhroli, Mumbai",no,yes,Area528,1,1
236,₹90 Lac ,"1 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area312,1,0
237,₹96 Lac ,"3 BHK Flat for Sale in Bhayandar West, Mumbai",no,yes,Area1175,1,1
238,₹2.75 Cr ,"2 BHK Flat for Sale in Lal Baug, Mumbai",no,yes,Area1000,0,1
239,₹2.78 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area1175,1,0
240,₹2.30 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area580,0,1
241,₹2.40 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area690,1,0
242,₹45 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",no,yes,Area572,0,0
243,₹1.75 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",no,yes,Area618,0,1
244,₹1.10 Cr ,"1 BHK Flat for Sale in Collector Colony, Mumbai",no,yes,Area386,0,1
245,₹2.75 Cr ,"2 BHK Flat for Sale in Wadala East, Mumbai",no,yes,Area950,0,1
246,₹13.5 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",no,yes,Area380,0,1
247,₹45 Lac ,"1 BHK Flat for Sale in Mira Road East, Mumbai",yes,yes,Area375,0,0
248,₹99 Lac ,"1 BHK Flat for Sale in Azad Nagar Andheri West, Mumbai",no,yes,Area510,1,1
249,₹4.45 Cr ,"3 BHK Flat for Sale in Khar West, Mumbai",no,yes,Area924,0,0
250,₹67 Lac ," Studio Apartment for Sale in Ghatkopar East, Mumbai",yes,yes,Area306,0,0
251,₹48 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area540,0,0
252,₹36.8 Lac ,"1 BHK Flat for Sale in Ramdev Park, Mumbai",no,yes,Area400,0,0
253,₹1.89 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",yes,yes,Area738,1,1
254,₹5.30 Cr ,"2 BHK Flat for Sale in Worli, Mumbai",no,yes,Area892,0,0
255,₹50 Lac ,"2 BHK Flat for Sale in Nalasopara West, Mumbai",yes,yes,Area620,0,0
256,₹65 Lac ,"1 BHK Flat for Sale in Kandivali East, Mumbai",no,yes,Area475,0,1
257,₹5.25 Cr ,"2 BHK Flat for Sale in Pedder Road, Mumbai",no,yes,Area860,0,1
258,₹98 Lac ,"1 BHK Flat for Sale in Malad East, Mumbai",no,yes,Area370,0,0
259,₹85 Lac ,"1 BHK Flat for Sale in Shakti Nagar Andheri West, Mumbai",no,yes,Area521,1,0
260,₹80 Lac ,"1 BHK Flat for Sale in Mulund East, Mumbai",no,yes,Area460,0,0
261,₹1.65 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",no,yes,Area625,1,1
262,₹1 Cr ,"1 BHK Flat for Sale in Kurla East, Mumbai",yes,yes,Area516,0,0
263,₹1.35 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area600,0,0
264,₹1.70 Cr ,"1 BHK Flat for Sale in Mazgaon, Mumbai",no,yes,Area418,0,1
265,₹55 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area450,1,0
